,url,file_path,about_path,status_code,categories,langid
0,http://conquerorcontests.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/f89b7fafc210475fa449314600c759b6,,200,-1,en
1,http://onuconvert.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/79c7e0b999844c2f9574bed1eaf71535,,200,-1,ko
2,http://jobapscloud.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/c63c3a9d75324e27bbf96bc3800df6ff,,200,5,en
3,http://healthyfoodscard.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/9abb1498f2a94770aa94bc0eb0743d59,,200,11;22,en
4,http://siardrobelleza.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/08467a49fd634ecaaf1d31ebc7f01082,,200,63,es
5,https://careministrynetwork.net,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/fda1ce5414f1485a9aa3b6e12893ba6d,,200,-1,en
6,https://melatini.it,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/a4dce2714f1c472f9bc071eadeda4725,,200,6,it
7,http://withoutahitchboston.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/a5d67194e5d74066b03bda0a781389eb,,200,5;16,en
8,http://deltasoftotomasyon.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/7a4022cd3d264feb89dc5c1e59450d51,,200,11,tr
9,http://inspiringsunday.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/50d522b6bd9746a194545da4ceb7d50b,,200,30,en
10,http://netseseekhe.me,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/6204327202404594b290470949dabbe9,,200,-1,en
11,http://abst90.site,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/58b4cf56581b4d8297fba10a040fef63,,200,18,fa
12,http://smarttouchtexting.com,/bigdata/dst/urlf_ng/datasets/tamar_crawler/2020-1/a73a7d5ab60249229bbda7f3218cd76f,,200,-1,en
